player_id,name,elo,elo_hard,elo_clay,elo_grass
206173,Jannik Sinner,2211.6,2148.0,1788.1,1690.8
104925,Novak Djokovic,2085.7,2054.6,1955.3,1898.6
207989,Carlos Alcaraz,2002.3,1901.0,1925.6,1786.3
100644,Alexander Zverev,1987.7,1903.3,1880.6,1659.8
126203,Taylor Fritz,1965.7,1859.8,1714.8,1648.1
103819,Roger Federer,1931.2,1930.4,1709.3,1817.0
106401,Nick Kyrgios,1908.7,1819.6,1593.2,1666.3
106421,Daniil Medvedev,1899.9,1874.2,1694.0,1721.1
207733,Jack Draper,1896.3,1795.8,1521.8,1596.6
105777,Grigor Dimitrov,1862.1,1827.5,1702.1,1584.2
208029,Holger Rune,1860.4,1778.2,1724.2,1576.4
200282,Alex De Minaur,1858.6,1795.1,1677.3,1670.1
105223,Juan Martin del Potro,1833.7,1860.1,1654.8,1578.6
200624,Sebastian Korda,1831.0,1755.0,1579.7,1584.4
200005,Ugo Humbert,1827.1,1786.4,1433.7,1575.9
126205,Tommy Paul,1819.8,1733.1,1611.7,1666.2
104745,Rafael Nadal,1818.5,1812.7,1906.6,1714.3
126774,Stefanos Tsitsipas,1814.1,1718.4,1875.7,1561.3
111575,Karen Khachanov,1814.1,1758.2,1715.8,1588.7
200615,Alexei Popyrin,1795.3,1721.6,1533.4,1460.1
128034,Hubert Hurkacz,1789.2,1734.8,1693.9,1634.6
126610,Matteo Berrettini,1788.6,1659.9,1804.5,1735.6
207830,Tomas Machac,1788.3,1706.9,1583.7,1484.5
210097,Ben Shelton,1781.4,1731.0,1538.9,1511.1
207518,Lorenzo Musetti,1775.1,1599.2,1735.2,1639.0
126207,Frances Tiafoe,1765.1,1709.5,1537.9,1585.8
104792,Gael Monfils,1762.6,1726.5,1508.9,1566.6
111442,Jordan Thompson,1756.7,1701.0,1400.3,1583.4
208103,Jiri Lehecka,1748.7,1663.2,1585.7,1530.3
209950,Arthur Fils,1746.7,1652.8,1582.6,1540.2
207925,Flavio Cobolli,1746.5,1653.7,1559.2,1498.2
105526,Jan Lennard Struff,1745.0,1543.2,1722.5,1560.1
134770,Casper Ruud,1734.2,1659.4,1845.3,1481.6
133430,Denis Shapovalov,1730.6,1651.3,1604.8,1561.6
105676,David Goffin,1724.5,1641.0,1559.0,1594.1
134868,Tallon Griekspoor,1719.6,1658.0,1544.9,1558.0
105683,Milos Raonic,1717.8,1719.2,1621.9,1666.1
200000,Felix Auger Aliassime,1715.7,1627.6,1705.3,1555.3
202385,Jenson Brooksby,1714.0,1692.8,1481.8,1528.8
126094,Andrey Rublev,1713.6,1712.1,1736.0,1608.6
202103,Francisco Cerundolo,1707.7,1611.4,1703.5,1494.0
105453,Kei Nishikori,1704.1,1693.3,1691.2,1599.6
105138,Roberto Bautista Agut,1693.7,1612.5,1568.2,1653.8
106423,Thanasi Kokkinakis,1693.5,1624.2,1507.7,1488.1
206909,Brandon Nakashima,1693.0,1632.0,1517.4,1545.2
210150,Jakub Mensik,1685.1,1638.0,1545.0,1477.3
210506,Alex Michelsen,1681.3,1636.0,1473.9,1528.5
208286,Matteo Arnaldi,1678.4,1637.7,1584.7,1468.2
208659,Giovanni Mpetshi Perricard,1671.1,1561.8,1530.2,1523.0
111815,Cameron Norrie,1666.3,1651.5,1650.7,1592.8
